ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
135,Joël Veltman,DEF,Brighton,0,0,0,0,0,0,908,1,0,1,9,10,32,54,76%,18,76,125,69,29,21,1,810,1,0%,30,17,0,,,,,
136,Bart Verbruggen,GKP,Brighton,0,2.89,0,0,0,26,810,1,0,0,7,6,28,,,,,,,,,0,743,,,91,1,,,,,,65
137,Andi Zeqiri,FWD,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
138,Jack Hinshelwood,MID,Brighton,1,0,0,0,0,0,436,1,0,3,4,4,,14,36%,14,33,24,33,7,8,0,435,1,20%,5,11,2,14,8,57%,3,
139,Carlos Baleba,MID,Brighton,0,0,0,0,0,0,519,3,0,0,7,12,,40,50%,18,95,102,90,25,10,0,773,1,0%,18,40,0,21,5,24%,0,
140,Benicio Baker-Boaitey,MID,Brighton,0,0,0,0,0,0,12,0,0,0,1,2,,0,,0,,,,,,0,19,0,,,2,0,1,0,0%,0,
141,Ben Jackson,DEF,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
142,Joshua Duffus,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
143,Joshua Duffus,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
144,Leigh Kavanagh,DEF,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,,,,,
145,Luca Barrington,MID,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
146,Enock Agyei,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
147,Samuel Bastien,MID,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0%,0,
148,Jordan Beyer,DEF,Burnley,0,0,0,0,2,0,1128,6,0,0,3,10,23,35,57%,16,57,73,50,29,26,1,855,1,0%,47,11,0,,,,,
149,Josh Brownhill,MID,Burnley,3,0,0,0,2,0,1319,2,0,4,5,21,,61,57%,34,124,126,101,36,33,2,"1,028",0,23%,44,38,0,28,11,39%,1,
